,Mẫu ,SL,,10S,QH,Chênh,,,,,,,,,,,,,,,,,,
  ,Tòa Vuông - 30 tầng,,2,"1.188,16","1.188,16","2.376,32",,"4.648,08","65.073,15","57.915,10","2.281,27","69.721,23","72.002,50",2,28,,,1.602,,"1703,385315",1602,,,
 2 , Đất cây xanh nhóm ở ,"41.124,88",,,,"2.056,24","5,00",,,,,"2.056,24","0,00",1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-03 ,"9.787,87",,,,"489,39","5,00",,,,,"489,39",,1,,"0,05",,,,,,,,
  , B6-CXO-04 ,"12.179,27",,,,"608,96","5,00",,,,,"608,96",,1,,"0,05",,,,,,,,
  , B6-CXO-05 ,"19.157,75",,,,"957,89","5,00",,,,,"957,89",,1,,"0,05",,,,,,,,
 3 , Đất giao thông nội bộ ,"30.328,01",,,,,"0,00",,,,,,,,,,  -   ,,,,,,,
 III , B6-NOXH-03 ,"122.750,70",6,,,"12.337,76","10,05","17.283,26","241.965,57","215.349,36","8.482,58","262.291,70","267.731,41",2,28,"2,14",,5.955,36,,,,,
 1 , Đất chung cư cao tầng ,"45.886,89",6,"4.418,01","4.418,01","9.294,89","20,26","17.283,26","241.965,57","215.349,36","8.482,58","259.248,83","267.731,41",2,28,"11,31",  -   ,5.955,36,,,,,
  , B6-CC-07 ,"22.292,98",3,"1.472,67","1.472,67","4.640,94","20,82","8.641,63","120.982,79","107.674,68","4.241,29","129.624,41","133.865,70",2,28,"5,81",,2.978,,"3166,902335",2978,2978,,
  ,Tòa Z - 30 tầng,,3,"1.472,67","1.472,67","4.418,01",,"8.641,63","120.982,79","107.674,68","4.241,29","129.624,41","133.865,70",2,28,,,2.978,,"3166,902335",2978,,,
  , B6-CC-08 ,"23.593,90",3,"2.945,34","2.945,34","4.653,95","19,73","8.641,63","120.982,79","107.674,68","4.241,29","129.624,41","133.865,70",2,28,"5,49",,2.978,,"3166,902335",2978,2978,,
  ,Tòa L ngắn - 30 tầng,,2,"1.472,67","1.472,67","2.945,34",,"5.761,09","80.655,19","71.783,12","2.827,53","86.416,28","89.243,80",2,28,,,1.985,,"2111,268223",1985,,,
  ,Tòa I1 - 30 tầng,,1,"1.472,67","1.472,67","1.472,67",,"2.880,54","40.327,60","35.891,56","1.413,76","43.208,14","44.621,90",2,28,,,993,,"1055,634112",993,,,
 2 , Đất cây xanh nhóm ở ,"60.857,38",,,,"3.042,87","5,00",,,,,"3.042,87","0,00",1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-06 ,"19.692,15",,,,"984,61","5,00",,,,,"984,61",,1,,"0,05",,,,,,,,
  , B6-CXO-07 ,"41.165,23",,,,"2.058,26","5,00",,,,,"2.058,26",,1,,"0,05",,,,,,,,
 3 , Đất giao thông nội bộ ,"16.006,44",,,,,"0,00",,,,,,,,,,  -   ,,,,,,,
 IV , B6-NOXH-04 ,"7.980,00",1,"1.620,00","1.620,00","1.862,94","23,35","1.584,36","11.090,52","9.870,56","771,12","12.878,81","13.446,00",1,7,"1,61",  -   ,273,36,,,,,
 1 , Đất chung cư cao tầng ,"3.901,39",1,"1.620,00","1.620,00","1.659,01","42,52","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",  -   ,273,36,,,,,
  , B6-CC-09 ,"3.901,39",1,"1.620,00","1.620,00","1.659,01","42,52","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",0,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
